
2025-04-18 13:09:29,017 Train started...
Trainable parameters: 1,388,548
batch 100, time:0.135, loss: 1123.0673, mean_absolute_error: 13.8182
batch 200, time:0.150, loss: 1089.1025, mean_absolute_error: 13.8989
batch 300, time:0.139, loss: 899.7946, mean_absolute_error: 13.0223
batch 400, time:0.132, loss: 1007.1353, mean_absolute_error: 12.3219
batch 500, time:0.128, loss: 622.4808, mean_absolute_error: 9.8307
batch 600, time:0.140, loss: 768.4088, mean_absolute_error: 10.9778
batch 700, time:0.143, loss: 649.9020, mean_absolute_error: 10.0301
batch 800, time:0.134, loss: 515.1640, mean_absolute_error: 8.6520
batch 900, time:0.135, loss: 760.0955, mean_absolute_error: 10.9480
batch 1000, time:0.133, loss: 564.1849, mean_absolute_error: 9.5486
batch 1100, time:0.142, loss: 583.1876, mean_absolute_error: 9.8544
batch 1200, time:0.094, loss: 617.0212, mean_absolute_error: 9.7219
batch 1300, time:0.134, loss: 514.1625, mean_absolute_error: 8.9974
batch 1400, time:0.148, loss: 457.5521, mean_absolute_error: 8.8244
batch 1500, time:0.142, loss: 626.4129, mean_absolute_error: 9.5834
batch 1600, time:0.135, loss: 393.0759, mean_absolute_error: 8.2166
batch 1700, time:0.125, loss: 666.8603, mean_absolute_error: 8.9636
batch 1800, time:0.142, loss: 488.2278, mean_absolute_error: 8.7697
batch 1900, time:0.137, loss: 486.1789, mean_absolute_error: 8.7397
batch 2000, time:0.152, loss: 465.3418, mean_absolute_error: 8.6655
batch 2100, time:0.146, loss: 583.9058, mean_absolute_error: 9.3637
batch 2200, time:0.144, loss: 773.7355, mean_absolute_error: 9.9318
batch 2300, time:0.124, loss: 502.6589, mean_absolute_error: 8.4336
batch 2400, time:0.152, loss: 479.7368, mean_absolute_error: 8.1417
batch 2500, time:0.123, loss: 533.4637, mean_absolute_error: 8.0507
batch 2600, time:0.144, loss: 457.5458, mean_absolute_error: 8.5182
batch 2700, time:0.150, loss: 433.1528, mean_absolute_error: 7.7004
batch 2800, time:0.151, loss: 520.6470, mean_absolute_error: 8.8280
001/30:  time: 2679.498 loss: 653.3343  mean_absolute_error: 9.9547,  val_loss: 520.6485,  val_mean_absolute_error: 8.6079
batch 100, time:0.146, loss: 509.8356, mean_absolute_error: 8.1117
batch 200, time:0.144, loss: 598.8406, mean_absolute_error: 8.9088
batch 300, time:0.141, loss: 565.7081, mean_absolute_error: 8.2346
batch 400, time:0.142, loss: 527.6140, mean_absolute_error: 8.7288
batch 500, time:0.149, loss: 467.8018, mean_absolute_error: 7.8469
batch 600, time:0.133, loss: 469.7986, mean_absolute_error: 7.9595
batch 700, time:0.131, loss: 512.2251, mean_absolute_error: 8.6848
batch 800, time:0.133, loss: 477.5473, mean_absolute_error: 8.1770
batch 900, time:0.132, loss: 485.8987, mean_absolute_error: 8.3225
batch 1000, time:0.138, loss: 673.7078, mean_absolute_error: 9.3537
batch 1100, time:0.137, loss: 547.5937, mean_absolute_error: 8.5427
batch 1200, time:0.112, loss: 449.4360, mean_absolute_error: 7.6856
batch 1300, time:0.124, loss: 461.5080, mean_absolute_error: 7.8965
batch 1400, time:0.132, loss: 565.7849, mean_absolute_error: 8.6982
batch 1500, time:0.133, loss: 488.2244, mean_absolute_error: 8.1561
batch 1600, time:0.148, loss: 493.3115, mean_absolute_error: 8.2551
batch 1700, time:0.155, loss: 551.7568, mean_absolute_error: 8.6524
batch 1800, time:0.136, loss: 493.9334, mean_absolute_error: 8.3243
batch 1900, time:0.127, loss: 417.2805, mean_absolute_error: 8.1605
batch 2000, time:0.150, loss: 539.2089, mean_absolute_error: 8.1175
batch 2100, time:0.150, loss: 546.6207, mean_absolute_error: 8.8620
batch 2200, time:0.140, loss: 542.3119, mean_absolute_error: 8.4870
batch 2300, time:0.121, loss: 424.3067, mean_absolute_error: 7.6265
batch 2400, time:0.153, loss: 381.5970, mean_absolute_error: 7.6154
batch 2500, time:0.145, loss: 627.6297, mean_absolute_error: 8.8561
batch 2600, time:0.137, loss: 440.6085, mean_absolute_error: 7.8011
batch 2700, time:0.124, loss: 425.9334, mean_absolute_error: 8.0184
batch 2800, time:0.145, loss: 474.6883, mean_absolute_error: 7.9397
002/30:  time: 1336.613 loss: 496.5784  mean_absolute_error: 8.1991,  val_loss: 493.0628,  val_mean_absolute_error: 8.0091
