
2025-04-21 11:16:59,792 Train started...
Trainable parameters: 1,388,548
batch 100, time:0.538, loss: 889.6321, mean_absolute_error: 13.5319
batch 200, time:0.551, loss: 350.9239, mean_absolute_error: 9.2900
batch 300, time:0.557, loss: 249.2363, mean_absolute_error: 8.2794
batch 400, time:0.546, loss: 336.2702, mean_absolute_error: 8.5182
batch 500, time:0.539, loss: 162.1441, mean_absolute_error: 6.0383
batch 600, time:0.554, loss: 184.9064, mean_absolute_error: 6.6549
batch 700, time:0.549, loss: 167.0283, mean_absolute_error: 6.1442
batch 800, time:0.554, loss: 219.0414, mean_absolute_error: 6.4807
batch 900, time:0.552, loss: 193.2201, mean_absolute_error: 6.5378
batch 1000, time:0.545, loss: 180.4428, mean_absolute_error: 6.8216
batch 1100, time:0.548, loss: 160.5980, mean_absolute_error: 6.5100
batch 1200, time:0.548, loss: 161.7177, mean_absolute_error: 5.4855
batch 1300, time:0.550, loss: 122.2628, mean_absolute_error: 4.7909
batch 1400, time:0.548, loss: 111.7187, mean_absolute_error: 4.5554
batch 1500, time:0.559, loss: 88.0659, mean_absolute_error: 4.2389
batch 1600, time:0.542, loss: 104.8210, mean_absolute_error: 4.4770
batch 1700, time:0.530, loss: 123.9647, mean_absolute_error: 4.5603
batch 1800, time:0.544, loss: 121.5639, mean_absolute_error: 5.2049
batch 1900, time:0.542, loss: 93.6617, mean_absolute_error: 4.4385
batch 2000, time:0.551, loss: 78.7757, mean_absolute_error: 4.0382
batch 2100, time:0.551, loss: 87.8800, mean_absolute_error: 4.2179
batch 2200, time:0.548, loss: 116.9918, mean_absolute_error: 4.3229
batch 2300, time:0.550, loss: 84.4612, mean_absolute_error: 4.1314
batch 2400, time:0.534, loss: 106.7755, mean_absolute_error: 4.4521
batch 2500, time:0.550, loss: 97.4010, mean_absolute_error: 4.1429
batch 2600, time:0.459, loss: 117.9721, mean_absolute_error: 4.8365
batch 2700, time:0.554, loss: 87.3983, mean_absolute_error: 4.4410
batch 2800, time:0.550, loss: 77.5715, mean_absolute_error: 3.9477
batch 2900, time:0.547, loss: 84.5744, mean_absolute_error: 3.9252
batch 3000, time:0.537, loss: 126.6689, mean_absolute_error: 4.6017
batch 3100, time:0.551, loss: 106.8083, mean_absolute_error: 4.6724
batch 3200, time:0.541, loss: 93.5260, mean_absolute_error: 3.8050
batch 3300, time:0.550, loss: 67.5084, mean_absolute_error: 3.6560
batch 3400, time:0.549, loss: 122.3972, mean_absolute_error: 4.1933
batch 3500, time:0.548, loss: 97.2552, mean_absolute_error: 3.9196
batch 3600, time:0.544, loss: 116.5738, mean_absolute_error: 3.7771
batch 3700, time:0.544, loss: 89.3885, mean_absolute_error: 3.7441
batch 3800, time:0.542, loss: 80.0255, mean_absolute_error: 3.6354
batch 3900, time:0.545, loss: 89.2811, mean_absolute_error: 3.8103
batch 4000, time:0.545, loss: 103.0617, mean_absolute_error: 4.2124
batch 4100, time:0.542, loss: 70.2899, mean_absolute_error: 3.8675
batch 4200, time:0.545, loss: 91.0856, mean_absolute_error: 3.6924
batch 4300, time:0.544, loss: 94.8545, mean_absolute_error: 3.7305
batch 4400, time:0.544, loss: 149.9215, mean_absolute_error: 4.5194
batch 4500, time:0.553, loss: 113.0474, mean_absolute_error: 4.1138
batch 4600, time:0.545, loss: 108.0496, mean_absolute_error: 4.0484
batch 4700, time:0.547, loss: 77.5410, mean_absolute_error: 3.6390
batch 4800, time:0.541, loss: 70.0830, mean_absolute_error: 3.4224
batch 4900, time:0.542, loss: 68.8961, mean_absolute_error: 3.5096
batch 5000, time:0.540, loss: 80.7202, mean_absolute_error: 3.4943
batch 5100, time:0.542, loss: 85.5440, mean_absolute_error: 3.7362
batch 5200, time:0.534, loss: 76.2211, mean_absolute_error: 3.5959
batch 5300, time:0.529, loss: 83.6959, mean_absolute_error: 4.0017
batch 5400, time:0.546, loss: 73.5645, mean_absolute_error: 4.0066
batch 5500, time:0.543, loss: 71.8275, mean_absolute_error: 3.4524
batch 5600, time:0.543, loss: 77.4706, mean_absolute_error: 3.6930
batch 5700, time:0.528, loss: 74.8996, mean_absolute_error: 3.3563
001/80:  time: 6733.099 loss: 153.4092  mean_absolute_error: 4.9896,  val_loss: 72.7666,  val_mean_absolute_error: 3.4410
batch 100, time:0.549, loss: 120.6798, mean_absolute_error: 4.0550
batch 200, time:0.547, loss: 73.1696, mean_absolute_error: 3.4221
batch 300, time:0.547, loss: 56.7474, mean_absolute_error: 3.3736
batch 400, time:0.539, loss: 95.7842, mean_absolute_error: 3.8242
batch 500, time:0.540, loss: 80.7056, mean_absolute_error: 3.7628
batch 600, time:0.540, loss: 58.8512, mean_absolute_error: 3.1597
batch 700, time:0.538, loss: 61.4562, mean_absolute_error: 3.1098
batch 800, time:0.547, loss: 72.8015, mean_absolute_error: 3.5898
