2025-04-22 22:32:01,509 Train started...
2025-04-22 22:32:01,516 Loading checkpoint: 16, /mydata/deepcloud/yves/A_RadiativeFlux/results/gnn_256_l4/checkpoint_epoch_16.pth
2025-04-22 22:32:02,322 Training will continue from epoch: 16/80
Trainable parameters: 1,388,548
batch 100, time:0.530, loss: 60.8474, mean_absolute_error: 2.7351
batch 200, time:0.546, loss: 56.9233, mean_absolute_error: 2.5349
batch 300, time:0.548, loss: 52.7755, mean_absolute_error: 2.6553
batch 400, time:0.528, loss: 40.5575, mean_absolute_error: 2.3468
batch 500, time:0.537, loss: 53.8086, mean_absolute_error: 2.5148
batch 600, time:0.551, loss: 67.5226, mean_absolute_error: 3.0164
batch 700, time:0.543, loss: 72.3276, mean_absolute_error: 2.9558
batch 800, time:0.548, loss: 75.8835, mean_absolute_error: 2.9613
batch 900, time:0.531, loss: 53.7791, mean_absolute_error: 2.5714
batch 1000, time:0.543, loss: 60.5261, mean_absolute_error: 2.7565
batch 1100, time:0.526, loss: 51.9073, mean_absolute_error: 2.5171
batch 1200, time:0.547, loss: 41.2691, mean_absolute_error: 2.4696
batch 1300, time:0.537, loss: 52.2453, mean_absolute_error: 2.6472
batch 1400, time:0.540, loss: 61.8946, mean_absolute_error: 2.6856
batch 1500, time:0.548, loss: 44.4116, mean_absolute_error: 2.4036
batch 1600, time:0.552, loss: 56.4710, mean_absolute_error: 2.6531
batch 1700, time:0.531, loss: 45.7964, mean_absolute_error: 2.3371
batch 1800, time:0.531, loss: 57.0572, mean_absolute_error: 2.8550
batch 1900, time:0.538, loss: 49.5831, mean_absolute_error: 2.5767
batch 2000, time:0.547, loss: 39.8949, mean_absolute_error: 2.2891
batch 2100, time:0.556, loss: 53.2227, mean_absolute_error: 2.5829
batch 2200, time:0.531, loss: 53.5657, mean_absolute_error: 2.5832
batch 2300, time:0.543, loss: 51.7480, mean_absolute_error: 2.5463
batch 2400, time:0.538, loss: 50.6043, mean_absolute_error: 2.4310
batch 2500, time:0.536, loss: 62.0832, mean_absolute_error: 2.5636
batch 2600, time:0.542, loss: 50.6268, mean_absolute_error: 2.6778
batch 2700, time:0.531, loss: 46.8708, mean_absolute_error: 2.1871
batch 2800, time:0.544, loss: 34.7265, mean_absolute_error: 2.1569
batch 2900, time:0.545, loss: 44.5100, mean_absolute_error: 2.4683
batch 3000, time:0.541, loss: 69.8720, mean_absolute_error: 2.7468
batch 3100, time:0.532, loss: 58.2968, mean_absolute_error: 2.6904
batch 3200, time:0.534, loss: 58.7757, mean_absolute_error: 2.5523
batch 3300, time:0.534, loss: 48.3575, mean_absolute_error: 2.5062
batch 3400, time:0.535, loss: 54.3407, mean_absolute_error: 2.4553
batch 3500, time:0.555, loss: 53.3800, mean_absolute_error: 2.6305
batch 3600, time:0.543, loss: 91.5375, mean_absolute_error: 2.8068
batch 3700, time:0.547, loss: 59.4987, mean_absolute_error: 2.5971
batch 3800, time:0.549, loss: 41.4747, mean_absolute_error: 2.3768
batch 3900, time:0.539, loss: 49.0281, mean_absolute_error: 2.4585
batch 4000, time:0.532, loss: 59.4265, mean_absolute_error: 2.6607
batch 4100, time:0.531, loss: 44.3430, mean_absolute_error: 2.5197
batch 4200, time:0.539, loss: 58.0887, mean_absolute_error: 2.7501
batch 4300, time:0.544, loss: 60.3376, mean_absolute_error: 2.7893
batch 4400, time:0.539, loss: 97.1364, mean_absolute_error: 3.2045
batch 4500, time:0.535, loss: 68.1086, mean_absolute_error: 2.8584
batch 4600, time:0.535, loss: 55.6056, mean_absolute_error: 2.6053
batch 4700, time:0.537, loss: 47.9165, mean_absolute_error: 2.7382
batch 4800, time:0.546, loss: 46.7798, mean_absolute_error: 2.3607
batch 4900, time:0.545, loss: 56.6694, mean_absolute_error: 2.4561
batch 5000, time:0.539, loss: 55.3806, mean_absolute_error: 2.4034
batch 5100, time:0.545, loss: 64.5927, mean_absolute_error: 2.7728
batch 5200, time:0.541, loss: 48.4979, mean_absolute_error: 2.4632
batch 5300, time:0.531, loss: 54.8318, mean_absolute_error: 2.8031
batch 5400, time:0.534, loss: 43.2046, mean_absolute_error: 2.1953
batch 5500, time:0.533, loss: 49.0843, mean_absolute_error: 2.4868
batch 5600, time:0.538, loss: 39.1399, mean_absolute_error: 2.2945
batch 5700, time:0.546, loss: 54.9402, mean_absolute_error: 2.5639
017/80:  time: 7226.780 loss: 54.7251  mean_absolute_error: 2.5902,  val_loss: 55.9111,  val_mean_absolute_error: 2.7352
batch 100, time:0.545, loss: 81.9625, mean_absolute_error: 3.0945
batch 200, time:0.542, loss: 38.5705, mean_absolute_error: 2.2914
batch 300, time:0.542, loss: 37.2350, mean_absolute_error: 2.1015
batch 400, time:0.539, loss: 68.8207, mean_absolute_error: 2.7703
batch 500, time:0.550, loss: 52.8711, mean_absolute_error: 2.6186
batch 600, time:0.540, loss: 35.9290, mean_absolute_error: 2.1092
batch 700, time:0.549, loss: 51.0877, mean_absolute_error: 2.5646
batch 800, time:0.546, loss: 46.5863, mean_absolute_error: 2.5931
batch 900, time:0.556, loss: 74.9651, mean_absolute_error: 2.7722
batch 1000, time:0.542, loss: 54.9790, mean_absolute_error: 2.5726
batch 1100, time:0.549, loss: 54.9279, mean_absolute_error: 2.6090
batch 1200, time:0.543, loss: 71.1455, mean_absolute_error: 2.7146
batch 1300, time:0.528, loss: 55.0881, mean_absolute_error: 2.6721
batch 1400, time:0.543, loss: 71.2823, mean_absolute_error: 2.9556
batch 1500, time:0.556, loss: 46.5973, mean_absolute_error: 2.3881
batch 1600, time:0.549, loss: 67.5192, mean_absolute_error: 2.7304
batch 1700, time:0.532, loss: 58.0556, mean_absolute_error: 2.8192
batch 1800, time:0.541, loss: 42.0048, mean_absolute_error: 2.3536
batch 1900, time:0.543, loss: 58.5581, mean_absolute_error: 2.7331
batch 2000, time:0.538, loss: 57.7808, mean_absolute_error: 2.6369
batch 2100, time:0.540, loss: 47.9657, mean_absolute_error: 2.4374
batch 2200, time:0.558, loss: 54.4317, mean_absolute_error: 2.6548
batch 2300, time:0.548, loss: 64.0612, mean_absolute_error: 2.5658
batch 2400, time:0.536, loss: 49.7148, mean_absolute_error: 2.5362
