
2025-04-25 15:07:30,054 Train started...
Trainable parameters: 4,772
batch 100, time:0.104, loss: 3921.7976, mean_absolute_error: 37.7792
batch 200, time:0.040, loss: 758.9771, mean_absolute_error: 14.0760
batch 300, time:0.043, loss: 796.1593, mean_absolute_error: 14.4949
batch 400, time:0.102, loss: 715.0917, mean_absolute_error: 13.4994
batch 500, time:0.086, loss: 515.0941, mean_absolute_error: 11.4364
batch 600, time:0.088, loss: 495.7026, mean_absolute_error: 11.5010
batch 700, time:0.097, loss: 390.2732, mean_absolute_error: 10.2415
batch 800, time:0.068, loss: 316.7362, mean_absolute_error: 8.7199
batch 900, time:0.094, loss: 406.1056, mean_absolute_error: 10.0764
batch 1000, time:0.087, loss: 358.8549, mean_absolute_error: 9.0081
batch 1100, time:0.089, loss: 296.0758, mean_absolute_error: 8.3656
batch 1200, time:0.136, loss: 282.4543, mean_absolute_error: 8.4367
batch 1300, time:0.071, loss: 341.4288, mean_absolute_error: 8.9848
batch 1400, time:0.081, loss: 231.2373, mean_absolute_error: 7.5239
batch 1500, time:0.089, loss: 316.7219, mean_absolute_error: 8.8136
batch 1600, time:0.089, loss: 258.9063, mean_absolute_error: 7.9710
batch 1700, time:0.099, loss: 278.2947, mean_absolute_error: 7.8017
batch 1800, time:0.064, loss: 290.4102, mean_absolute_error: 7.8701
batch 1900, time:0.104, loss: 229.9595, mean_absolute_error: 7.5570
batch 2000, time:0.089, loss: 214.0491, mean_absolute_error: 7.2227
batch 2100, time:0.067, loss: 234.7249, mean_absolute_error: 7.5981
batch 2200, time:0.109, loss: 354.1086, mean_absolute_error: 8.9485
batch 2300, time:0.073, loss: 255.8603, mean_absolute_error: 7.5910
batch 2400, time:0.093, loss: 216.3968, mean_absolute_error: 6.9838
batch 2500, time:0.091, loss: 218.3303, mean_absolute_error: 7.1342
batch 2600, time:0.073, loss: 246.1565, mean_absolute_error: 7.7969
batch 2700, time:0.097, loss: 175.0939, mean_absolute_error: 6.5143
