
Trainable parameters: 68,228
2025-05-05 15:49:19,814 Train started...
2025-05-05 15:49:19,818 Using heating rate smoothness loss with weight=0.005, applied to top 30 levels
2025-05-05 15:49:19,820 Loading checkpoint: 6, /mydata/deepcloud/yves/A_RadiativeFlux/results/gnn_32_l3_hrlu_0005/checkpoint_epoch_6.pth
2025-05-05 15:49:19,910 Training will continue from epoch: 6/60
batch 100, time:0.128, loss: 76.6653, mse: 76.1575, smoothness: 0.5079, mean_absolute_error: 3.4264
batch 200, time:0.149, loss: 114.4963, mse: 113.7242, smoothness: 0.7721, mean_absolute_error: 4.1961
batch 300, time:0.167, loss: 91.0177, mse: 89.5938, smoothness: 1.4239, mean_absolute_error: 4.0986
batch 400, time:0.122, loss: 116.7872, mse: 115.9799, smoothness: 0.8073, mean_absolute_error: 4.2230
batch 500, time:0.090, loss: 68.4341, mse: 67.9671, smoothness: 0.4670, mean_absolute_error: 3.2932
batch 600, time:0.138, loss: 78.5418, mse: 77.9797, smoothness: 0.5621, mean_absolute_error: 3.7212
batch 700, time:0.115, loss: 85.1103, mse: 84.7450, smoothness: 0.3653, mean_absolute_error: 3.5244
batch 800, time:0.113, loss: 71.4495, mse: 71.1349, smoothness: 0.3146, mean_absolute_error: 3.1205
batch 900, time:0.117, loss: 87.6511, mse: 85.3898, smoothness: 2.2613, mean_absolute_error: 4.0286
batch 1000, time:0.128, loss: 67.4939, mse: 67.2313, smoothness: 0.2626, mean_absolute_error: 3.2637
batch 1100, time:0.191, loss: 72.8921, mse: 72.4639, smoothness: 0.4282, mean_absolute_error: 3.3686
batch 1200, time:0.178, loss: 68.4089, mse: 68.0644, smoothness: 0.3445, mean_absolute_error: 3.4109
batch 1300, time:0.174, loss: 79.1711, mse: 78.7248, smoothness: 0.4462, mean_absolute_error: 3.7603
batch 1400, time:0.113, loss: 57.5650, mse: 56.2425, smoothness: 1.3225, mean_absolute_error: 3.1909
batch 1500, time:0.159, loss: 73.4105, mse: 72.6872, smoothness: 0.7233, mean_absolute_error: 3.3582
batch 1600, time:0.197, loss: 72.0211, mse: 71.6968, smoothness: 0.3243, mean_absolute_error: 3.1549
batch 1700, time:0.101, loss: 70.9820, mse: 70.6407, smoothness: 0.3413, mean_absolute_error: 3.2609
batch 1800, time:0.116, loss: 104.2198, mse: 103.8199, smoothness: 0.3999, mean_absolute_error: 3.9907
batch 1900, time:0.152, loss: 69.1857, mse: 68.6465, smoothness: 0.5392, mean_absolute_error: 3.3493
batch 2000, time:0.114, loss: 83.5156, mse: 82.9223, smoothness: 0.5934, mean_absolute_error: 3.5759
batch 2100, time:0.090, loss: 76.6878, mse: 76.0054, smoothness: 0.6824, mean_absolute_error: 3.4730
batch 2200, time:0.117, loss: 116.1360, mse: 115.3591, smoothness: 0.7770, mean_absolute_error: 4.2381
batch 2300, time:0.111, loss: 79.2821, mse: 78.7677, smoothness: 0.5144, mean_absolute_error: 3.4297
batch 2400, time:0.108, loss: 75.9722, mse: 75.6173, smoothness: 0.3549, mean_absolute_error: 3.1906
batch 2500, time:0.126, loss: 72.6849, mse: 71.9983, smoothness: 0.6866, mean_absolute_error: 3.3450
batch 2600, time:0.151, loss: 77.1885, mse: 72.8751, smoothness: 4.3134, mean_absolute_error: 3.3936
