
Trainable parameters: 47,364
2025-05-07 20:28:15,112 Train started...
batch 10, time:0.187, loss: 5817.7993, mean_absolute_error: 53.0609
batch 20, time:0.184, loss: 970.9094, mean_absolute_error: 19.1656
batch 30, time:0.189, loss: 2803.7271, mean_absolute_error: 28.2805
batch 40, time:0.184, loss: 3664.2830, mean_absolute_error: 36.2984
batch 50, time:0.195, loss: 2035.8835, mean_absolute_error: 24.4196
batch 60, time:0.184, loss: 3364.3777, mean_absolute_error: 31.7079
batch 70, time:0.181, loss: 978.8138, mean_absolute_error: 19.5912
batch 80, time:0.160, loss: 2575.4595, mean_absolute_error: 28.3635
batch 90, time:0.162, loss: 652.1496, mean_absolute_error: 16.5621
batch 100, time:0.194, loss: 3608.1309, mean_absolute_error: 36.7723
batch 110, time:0.179, loss: 144.4651, mean_absolute_error: 5.5741
batch 120, time:0.180, loss: 200.2747, mean_absolute_error: 8.6830
batch 130, time:0.161, loss: 614.6676, mean_absolute_error: 17.4009
batch 140, time:0.185, loss: 676.3502, mean_absolute_error: 15.7077
batch 150, time:0.182, loss: 1319.4282, mean_absolute_error: 22.9298
batch 160, time:0.186, loss: 194.6975, mean_absolute_error: 7.1383
batch 170, time:0.192, loss: 2249.6091, mean_absolute_error: 30.0185
batch 180, time:0.195, loss: 148.9657, mean_absolute_error: 6.8712
batch 190, time:0.181, loss: 1061.4062, mean_absolute_error: 22.4436
