
Trainable parameters: 26,500
2025-05-08 02:37:51,867 Train started...
batch 10, time:0.103, loss: 2319.0391, mean_absolute_error: 26.0203
batch 20, time:0.099, loss: 13796.9600, mean_absolute_error: 86.7627
batch 30, time:0.100, loss: 852.8189, mean_absolute_error: 14.4780
batch 40, time:0.141, loss: 3036.7773, mean_absolute_error: 32.0443
batch 50, time:0.081, loss: 494.0762, mean_absolute_error: 11.8261
batch 60, time:0.082, loss: 1174.6204, mean_absolute_error: 21.6408
batch 70, time:0.104, loss: 501.8307, mean_absolute_error: 13.4967
batch 80, time:0.082, loss: 461.3835, mean_absolute_error: 12.2294
batch 90, time:0.083, loss: 1256.6617, mean_absolute_error: 22.8849
batch 100, time:0.081, loss: 700.0222, mean_absolute_error: 17.3040
batch 110, time:0.119, loss: 827.8447, mean_absolute_error: 14.7561
batch 120, time:0.085, loss: 2384.3037, mean_absolute_error: 22.9779
batch 130, time:0.095, loss: 1357.1801, mean_absolute_error: 20.2340
batch 140, time:0.095, loss: 1064.2717, mean_absolute_error: 19.4381
batch 150, time:0.134, loss: 1878.0101, mean_absolute_error: 22.1817
batch 160, time:0.080, loss: 1689.6263, mean_absolute_error: 21.0154
batch 170, time:0.079, loss: 312.6928, mean_absolute_error: 8.9435
batch 180, time:0.090, loss: 140.3135, mean_absolute_error: 5.8477
batch 190, time:0.080, loss: 152.5870, mean_absolute_error: 5.8773
batch 200, time:0.085, loss: 119.4108, mean_absolute_error: 5.8525
batch 210, time:0.085, loss: 1879.2848, mean_absolute_error: 26.4041
batch 220, time:0.094, loss: 117.6433, mean_absolute_error: 5.2560
batch 230, time:0.086, loss: 416.6892, mean_absolute_error: 11.5479
batch 240, time:0.081, loss: 1056.0295, mean_absolute_error: 16.0056
batch 250, time:0.081, loss: 466.6867, mean_absolute_error: 12.5967
batch 260, time:0.112, loss: 1392.3671, mean_absolute_error: 19.4926
batch 270, time:0.095, loss: 437.4598, mean_absolute_error: 11.0263
batch 280, time:0.103, loss: 1355.8286, mean_absolute_error: 23.8233
batch 290, time:0.101, loss: 1202.4694, mean_absolute_error: 19.4147
batch 300, time:0.156, loss: 144.9497, mean_absolute_error: 5.8125
batch 310, time:0.081, loss: 120.8609, mean_absolute_error: 5.4396
batch 320, time:0.082, loss: 191.7666, mean_absolute_error: 6.2548
batch 330, time:0.090, loss: 126.1176, mean_absolute_error: 5.6531
batch 340, time:0.101, loss: 147.6907, mean_absolute_error: 5.5180
batch 350, time:0.089, loss: 319.8695, mean_absolute_error: 10.0904
batch 360, time:0.091, loss: 1059.2640, mean_absolute_error: 19.6669
batch 370, time:0.121, loss: 745.9066, mean_absolute_error: 15.7100
batch 380, time:0.081, loss: 1785.9862, mean_absolute_error: 26.7311
batch 390, time:0.099, loss: 1428.7634, mean_absolute_error: 22.6161
batch 400, time:0.094, loss: 356.7501, mean_absolute_error: 11.3172
batch 410, time:0.104, loss: 127.6601, mean_absolute_error: 5.7742
batch 420, time:0.082, loss: 208.4270, mean_absolute_error: 7.8715
batch 430, time:0.080, loss: 1064.8827, mean_absolute_error: 15.1763
