
Trainable parameters: 26,500
2025-05-08 19:09:06,584 Train started...
Created graph with disable_horizontal=False
Vertical edges: 5089280, Horizontal edges: 422592
batch 10, time:0.086, loss: 2319.0391, mean_absolute_error: 26.0203
batch 20, time:0.102, loss: 13796.9600, mean_absolute_error: 86.7627
batch 30, time:0.097, loss: 852.8189, mean_absolute_error: 14.4780
batch 40, time:0.092, loss: 3036.7776, mean_absolute_error: 32.0443
batch 50, time:0.081, loss: 494.0762, mean_absolute_error: 11.8261
batch 60, time:0.079, loss: 1174.6204, mean_absolute_error: 21.6408
batch 70, time:0.085, loss: 501.8307, mean_absolute_error: 13.4967
batch 80, time:0.082, loss: 461.3834, mean_absolute_error: 12.2294
batch 90, time:0.086, loss: 1256.6620, mean_absolute_error: 22.8849
batch 100, time:0.080, loss: 700.0224, mean_absolute_error: 17.3040
batch 110, time:0.087, loss: 827.8448, mean_absolute_error: 14.7561
batch 120, time:0.082, loss: 2384.3047, mean_absolute_error: 22.9779
batch 130, time:0.093, loss: 1357.1814, mean_absolute_error: 20.2340
batch 140, time:0.085, loss: 1064.2712, mean_absolute_error: 19.4381
batch 150, time:0.089, loss: 1878.0110, mean_absolute_error: 22.1817
batch 160, time:0.095, loss: 1689.6263, mean_absolute_error: 21.0154
batch 170, time:0.091, loss: 312.6928, mean_absolute_error: 8.9435
batch 180, time:0.089, loss: 140.3135, mean_absolute_error: 5.8477
batch 190, time:0.096, loss: 152.5871, mean_absolute_error: 5.8773
batch 200, time:0.146, loss: 119.4108, mean_absolute_error: 5.8525
batch 210, time:0.100, loss: 1879.2821, mean_absolute_error: 26.4040
batch 220, time:0.082, loss: 117.6437, mean_absolute_error: 5.2560
batch 230, time:0.089, loss: 416.6895, mean_absolute_error: 11.5479
batch 240, time:0.139, loss: 1056.0310, mean_absolute_error: 16.0056
batch 250, time:0.098, loss: 466.6791, mean_absolute_error: 12.5966
batch 260, time:0.096, loss: 1392.3630, mean_absolute_error: 19.4926
batch 270, time:0.085, loss: 437.4600, mean_absolute_error: 11.0262
batch 280, time:0.086, loss: 1355.8289, mean_absolute_error: 23.8233
batch 290, time:0.094, loss: 1202.4666, mean_absolute_error: 19.4147
