
2025-02-19 15:25:40,975 No scheduler. Using constant LR = args.learning_rate
total_optimization_steps: 43200
2025-02-19 15:25:43,732 Epoch=1, batch=0, LR=0.000100, loss=86856.0234, mae=179.3055
2025-02-19 15:28:04,391 Epoch=1, batch=100, LR=0.000100, loss=34426.6133, mae=123.3827
2025-02-19 15:31:27,334 Epoch=1, batch=200, LR=0.000100, loss=33756.3203, mae=122.7936
2025-02-19 15:34:43,571 Epoch=1, batch=300, LR=0.000100, loss=34035.4727, mae=123.8762
2025-02-19 15:38:05,195 Epoch=1, batch=400, LR=0.000100, loss=34050.2188, mae=125.1237
2025-02-19 15:41:03,979 Epoch=1, batch=500, LR=0.000100, loss=33946.6250, mae=123.6335
2025-02-19 15:44:28,670 Epoch=1, batch=600, LR=0.000100, loss=33735.2031, mae=122.8400
2025-02-19 15:47:39,368 Epoch=1, batch=700, LR=0.000100, loss=33492.1484, mae=121.1331
2025-02-19 15:50:52,037 Epoch=1, batch=800, LR=0.000100, loss=33042.2539, mae=121.2387
2025-02-19 15:54:01,193 Epoch=1, batch=900, LR=0.000100, loss=33187.4727, mae=121.0256
2025-02-19 15:57:14,456 Epoch=1, batch=1000, LR=0.000100, loss=33829.6914, mae=122.6114
2025-02-19 16:00:19,909 Epoch=1, batch=1100, LR=0.000100, loss=33839.3477, mae=123.4794
2025-02-19 16:03:47,869 Epoch=1, batch=1200, LR=0.000100, loss=33910.8672, mae=123.4857
2025-02-19 16:06:52,691 Epoch=1, batch=1300, LR=0.000100, loss=33458.4492, mae=122.3674
2025-02-19 16:10:22,366 Epoch=1, batch=1400, LR=0.000100, loss=33529.3516, mae=122.0606
2025-02-19 17:01:56,085 001/30 | Time 5775.101s | LR 0.000100 | loss 34098.7227 | mae 123.4559 | val_loss 33526.6445 | val_mae 122.0678
2025-02-19 17:01:59,715 Epoch=2, batch=0, LR=0.000100, loss=33739.8398, mae=122.5755
2025-02-19 17:02:47,720 Epoch=2, batch=100, LR=0.000100, loss=33312.0703, mae=121.1256
2025-02-19 17:03:38,150 Epoch=2, batch=200, LR=0.000100, loss=33578.9297, mae=122.5997
2025-02-19 17:04:29,260 Epoch=2, batch=300, LR=0.000100, loss=33843.6172, mae=123.0524
2025-02-19 17:05:19,090 Epoch=2, batch=400, LR=0.000100, loss=33370.1406, mae=121.2045
2025-02-19 17:06:08,864 Epoch=2, batch=500, LR=0.000100, loss=33591.4102, mae=121.7066
2025-02-19 17:06:58,357 Epoch=2, batch=600, LR=0.000100, loss=32997.3086, mae=120.8452
2025-02-19 17:07:45,856 Epoch=2, batch=700, LR=0.000100, loss=33235.6094, mae=120.1354
2025-02-19 17:08:32,872 Epoch=2, batch=800, LR=0.000100, loss=33333.0703, mae=121.6409
2025-02-19 17:09:21,616 Epoch=2, batch=900, LR=0.000100, loss=32791.3008, mae=119.5720
2025-02-19 17:10:11,552 Epoch=2, batch=1000, LR=0.000100, loss=33231.3398, mae=121.1174
2025-02-19 17:10:57,484 Epoch=2, batch=1100, LR=0.000100, loss=33325.7305, mae=120.7225
2025-02-19 17:11:46,036 Epoch=2, batch=1200, LR=0.000100, loss=33208.6367, mae=121.1592
2025-02-19 17:12:33,166 Epoch=2, batch=1300, LR=0.000100, loss=33179.4023, mae=120.7819
2025-02-19 17:13:19,041 Epoch=2, batch=1400, LR=0.000100, loss=33426.5234, mae=120.8636
2025-02-19 18:06:41,289 002/30 | Time 3882.919s | LR 0.000100 | loss 33327.0430 | mae 121.3267 | val_loss 33114.0820 | val_mae 120.6067
2025-02-19 18:06:46,492 Epoch=3, batch=0, LR=0.000100, loss=33007.6445, mae=119.5466
2025-02-19 18:07:30,131 Epoch=3, batch=100, LR=0.000100, loss=32877.9336, mae=119.3919
2025-02-19 18:08:09,427 Epoch=3, batch=200, LR=0.000100, loss=33275.9102, mae=120.9048
2025-02-19 18:08:46,599 Epoch=3, batch=300, LR=0.000100, loss=32979.0547, mae=119.8776
2025-02-19 18:09:25,223 Epoch=3, batch=400, LR=0.000100, loss=33099.9102, mae=120.7835
2025-02-19 18:10:04,111 Epoch=3, batch=500, LR=0.000100, loss=33018.6211, mae=120.3578
2025-02-19 18:10:45,600 Epoch=3, batch=600, LR=0.000100, loss=33640.8438, mae=121.7199
2025-02-19 18:11:22,413 Epoch=3, batch=700, LR=0.000100, loss=33212.1250, mae=120.3330
2025-02-19 18:12:03,109 Epoch=3, batch=800, LR=0.000100, loss=32945.3008, mae=119.8974
2025-02-19 18:12:41,320 Epoch=3, batch=900, LR=0.000100, loss=32815.6797, mae=120.0642
2025-02-19 18:13:18,448 Epoch=3, batch=1000, LR=0.000100, loss=32986.3047, mae=120.3324
2025-02-19 18:13:56,150 Epoch=3, batch=1100, LR=0.000100, loss=32633.8652, mae=118.4409
2025-02-19 18:14:34,277 Epoch=3, batch=1200, LR=0.000100, loss=32681.8809, mae=119.3702
2025-02-19 18:15:11,460 Epoch=3, batch=1300, LR=0.000100, loss=33256.8672, mae=121.2181
2025-02-19 18:15:49,974 Epoch=3, batch=1400, LR=0.000100, loss=32801.3945, mae=119.6979
2025-02-19 19:01:04,322 003/30 | Time 3259.950s | LR 0.000100 | loss 33088.4375 | mae 120.4041 | val_loss 33069.5820 | val_mae 120.3801
2025-02-19 19:01:07,433 Epoch=4, batch=0, LR=0.000100, loss=32578.9434, mae=118.7467
2025-02-19 19:01:44,040 Epoch=4, batch=100, LR=0.000100, loss=33529.2734, mae=122.0948
2025-02-19 19:02:21,304 Epoch=4, batch=200, LR=0.000100, loss=33139.3320, mae=120.6481
2025-02-19 19:02:58,494 Epoch=4, batch=300, LR=0.000100, loss=33317.2188, mae=120.4023
2025-02-19 19:03:36,359 Epoch=4, batch=400, LR=0.000100, loss=33684.0586, mae=122.2528
2025-02-19 19:04:14,529 Epoch=4, batch=500, LR=0.000100, loss=33054.6328, mae=120.2797
2025-02-19 19:04:52,025 Epoch=4, batch=600, LR=0.000100, loss=32837.8750, mae=120.0674
2025-02-19 19:05:28,901 Epoch=4, batch=700, LR=0.000100, loss=32972.4648, mae=120.1067
2025-02-19 19:06:05,630 Epoch=4, batch=800, LR=0.000100, loss=32942.8789, mae=121.0693
2025-02-19 19:06:43,327 Epoch=4, batch=900, LR=0.000100, loss=33095.7695, mae=120.7402
2025-02-19 19:07:22,195 Epoch=4, batch=1000, LR=0.000100, loss=32497.2363, mae=117.8143
2025-02-19 19:08:00,389 Epoch=4, batch=1100, LR=0.000100, loss=32234.3477, mae=118.2774
2025-02-19 19:08:38,363 Epoch=4, batch=1200, LR=0.000100, loss=32191.9336, mae=117.7117
2025-02-19 19:09:15,289 Epoch=4, batch=1300, LR=0.000100, loss=32399.8203, mae=119.1313
2025-02-19 19:09:53,722 Epoch=4, batch=1400, LR=0.000100, loss=32852.5352, mae=119.5751
2025-02-19 19:53:18,575 004/30 | Time 3132.305s | LR 0.000100 | loss 32990.4609 | mae 120.0605 | val_loss 32988.2734 | val_mae 120.0781
2025-02-19 19:53:21,545 Epoch=5, batch=0, LR=0.000100, loss=33197.9570, mae=120.4516
2025-02-19 19:53:55,861 Epoch=5, batch=100, LR=0.000100, loss=33184.3633, mae=119.7168
2025-02-19 19:54:31,109 Epoch=5, batch=200, LR=0.000100, loss=32878.3633, mae=119.8851
2025-02-19 19:55:06,256 Epoch=5, batch=300, LR=0.000100, loss=32901.2812, mae=120.7457
2025-02-19 19:55:42,242 Epoch=5, batch=400, LR=0.000100, loss=33326.4141, mae=121.0889
2025-02-19 19:56:17,285 Epoch=5, batch=500, LR=0.000100, loss=32663.4785, mae=119.4772
2025-02-19 19:56:53,108 Epoch=5, batch=600, LR=0.000100, loss=33138.7344, mae=120.7516
2025-02-19 19:57:29,025 Epoch=5, batch=700, LR=0.000100, loss=33450.5859, mae=121.5492
2025-02-19 19:58:04,846 Epoch=5, batch=800, LR=0.000100, loss=32343.2500, mae=118.7538
2025-02-19 19:58:39,891 Epoch=5, batch=900, LR=0.000100, loss=33535.5547, mae=122.0096
2025-02-19 19:59:15,292 Epoch=5, batch=1000, LR=0.000100, loss=32438.8242, mae=118.2821
2025-02-19 19:59:50,620 Epoch=5, batch=1100, LR=0.000100, loss=32424.3457, mae=117.6091
2025-02-19 20:00:25,824 Epoch=5, batch=1200, LR=0.000100, loss=33797.9727, mae=122.4230
2025-02-19 20:01:00,966 Epoch=5, batch=1300, LR=0.000100, loss=32106.1133, mae=117.6835
2025-02-19 20:01:37,268 Epoch=5, batch=1400, LR=0.000100, loss=33208.8203, mae=120.5829
2025-02-19 20:42:37,033 005/30 | Time 2956.672s | LR 0.000100 | loss 32969.7344 | mae 119.9569 | val_loss 32969.8086 | val_mae 119.7729
2025-02-19 20:42:40,555 Epoch=6, batch=0, LR=0.000100, loss=33038.6289, mae=119.6402
2025-02-19 20:43:15,560 Epoch=6, batch=100, LR=0.000100, loss=33200.2812, mae=120.4330
2025-02-19 20:43:50,832 Epoch=6, batch=200, LR=0.000100, loss=32478.5664, mae=119.2405
2025-02-19 20:44:26,696 Epoch=6, batch=300, LR=0.000100, loss=32915.8828, mae=119.6968
2025-02-19 20:45:02,188 Epoch=6, batch=400, LR=0.000100, loss=32821.6953, mae=119.7641
2025-02-19 20:45:37,840 Epoch=6, batch=500, LR=0.000100, loss=32722.7070, mae=118.9824
2025-02-19 20:46:13,180 Epoch=6, batch=600, LR=0.000100, loss=33159.2734, mae=120.9856
2025-02-19 20:46:48,327 Epoch=6, batch=700, LR=0.000100, loss=33077.6250, mae=119.9194
2025-02-19 20:47:23,546 Epoch=6, batch=800, LR=0.000100, loss=32709.2676, mae=119.8613
2025-02-19 20:47:58,633 Epoch=6, batch=900, LR=0.000100, loss=32923.3203, mae=119.2028
2025-02-19 20:48:34,489 Epoch=6, batch=1000, LR=0.000100, loss=32708.5566, mae=118.8820
2025-02-19 20:49:09,641 Epoch=6, batch=1100, LR=0.000100, loss=32681.6133, mae=119.4376
2025-02-19 20:49:44,836 Epoch=6, batch=1200, LR=0.000100, loss=33120.5781, mae=120.0542
2025-02-19 20:50:19,674 Epoch=6, batch=1300, LR=0.000100, loss=33291.9688, mae=120.6145
2025-02-19 20:50:54,852 Epoch=6, batch=1400, LR=0.000100, loss=33212.1406, mae=119.6438
2025-02-19 21:30:17,987 006/30 | Time 2858.662s | LR 0.000100 | loss 32928.1289 | mae 119.7937 | val_loss 32929.3086 | val_mae 119.6967
2025-02-19 21:30:20,847 Epoch=7, batch=0, LR=0.000100, loss=32735.9219, mae=119.1572
2025-02-19 21:30:55,077 Epoch=7, batch=100, LR=0.000100, loss=32954.2383, mae=120.1057
2025-02-19 21:31:30,163 Epoch=7, batch=200, LR=0.000100, loss=32135.3242, mae=117.2296
2025-02-19 21:32:04,242 Epoch=7, batch=300, LR=0.000100, loss=33157.4648, mae=120.8570
2025-02-19 21:32:39,266 Epoch=7, batch=400, LR=0.000100, loss=32193.7402, mae=118.0089
2025-02-19 21:33:14,310 Epoch=7, batch=500, LR=0.000100, loss=32974.4180, mae=119.6823
2025-02-19 21:33:49,378 Epoch=7, batch=600, LR=0.000100, loss=33388.0430, mae=120.7874
2025-02-19 21:34:23,929 Epoch=7, batch=700, LR=0.000100, loss=32916.7148, mae=119.8119
2025-02-19 21:34:59,176 Epoch=7, batch=800, LR=0.000100, loss=33387.5547, mae=121.6727
2025-02-19 21:35:33,457 Epoch=7, batch=900, LR=0.000100, loss=32608.7461, mae=119.4417
2025-02-19 21:36:08,546 Epoch=7, batch=1000, LR=0.000100, loss=33067.0898, mae=119.7894
2025-02-19 21:36:43,349 Epoch=7, batch=1100, LR=0.000100, loss=32979.8867, mae=119.5297
2025-02-19 21:37:18,975 Epoch=7, batch=1200, LR=0.000100, loss=32719.5527, mae=119.3997
2025-02-19 21:37:53,687 Epoch=7, batch=1300, LR=0.000100, loss=32966.0117, mae=119.7208
2025-02-19 21:38:28,639 Epoch=7, batch=1400, LR=0.000100, loss=33560.3203, mae=121.7325
2025-02-19 22:17:13,848 007/30 | Time 2814.063s | LR 0.000100 | loss 32898.1562 | mae 119.6999 | val_loss 32876.7852 | val_mae 119.5907
2025-02-19 22:17:16,402 Epoch=8, batch=0, LR=0.000100, loss=32714.1133, mae=118.3005
2025-02-19 22:17:50,512 Epoch=8, batch=100, LR=0.000100, loss=33005.9961, mae=119.8590
2025-02-19 22:18:25,123 Epoch=8, batch=200, LR=0.000100, loss=33234.8594, mae=120.5738
2025-02-19 22:18:58,876 Epoch=8, batch=300, LR=0.000100, loss=32695.0449, mae=119.1421
2025-02-19 22:19:34,354 Epoch=8, batch=400, LR=0.000100, loss=32341.5430, mae=118.5814
2025-02-19 22:20:08,551 Epoch=8, batch=500, LR=0.000100, loss=32076.1797, mae=117.1381
2025-02-19 22:20:43,039 Epoch=8, batch=600, LR=0.000100, loss=33091.0117, mae=120.5347
2025-02-19 22:21:17,218 Epoch=8, batch=700, LR=0.000100, loss=32348.6348, mae=118.1987
2025-02-19 22:21:52,519 Epoch=8, batch=800, LR=0.000100, loss=33337.3516, mae=121.0020
2025-02-19 22:22:26,782 Epoch=8, batch=900, LR=0.000100, loss=32495.3594, mae=118.7913
2025-02-19 22:23:01,379 Epoch=8, batch=1000, LR=0.000100, loss=32705.9434, mae=119.4813
2025-02-19 22:23:35,663 Epoch=8, batch=1100, LR=0.000100, loss=33522.5742, mae=121.6586
2025-02-19 22:24:10,827 Epoch=8, batch=1200, LR=0.000100, loss=32725.0273, mae=118.6254
2025-02-19 22:24:44,793 Epoch=8, batch=1300, LR=0.000100, loss=32316.5176, mae=118.4683
2025-02-19 22:25:19,636 Epoch=8, batch=1400, LR=0.000100, loss=32911.1250, mae=119.3291
2025-02-19 23:02:52,848 008/30 | Time 2737.468s | LR 0.000100 | loss 32870.1953 | mae 119.6051 | val_loss 32920.9648 | val_mae 119.7064
2025-02-19 23:02:54,862 Epoch=9, batch=0, LR=0.000100, loss=32625.5273, mae=118.6555
2025-02-19 23:03:29,367 Epoch=9, batch=100, LR=0.000100, loss=32125.2891, mae=116.6950
2025-02-19 23:04:04,166 Epoch=9, batch=200, LR=0.000100, loss=33449.7344, mae=120.9329
2025-02-19 23:04:38,703 Epoch=9, batch=300, LR=0.000100, loss=32028.2012, mae=116.8880
2025-02-19 23:05:13,837 Epoch=9, batch=400, LR=0.000100, loss=32944.2656, mae=120.7048
2025-02-19 23:05:48,095 Epoch=9, batch=500, LR=0.000100, loss=33265.7461, mae=120.4638
2025-02-19 23:06:22,517 Epoch=9, batch=600, LR=0.000100, loss=33408.3438, mae=121.2951
2025-02-19 23:06:56,842 Epoch=9, batch=700, LR=0.000100, loss=32776.9102, mae=120.0153
2025-02-19 23:07:31,343 Epoch=9, batch=800, LR=0.000100, loss=33077.5156, mae=118.8837
2025-02-19 23:08:05,708 Epoch=9, batch=900, LR=0.000100, loss=32899.0000, mae=119.6951
2025-02-19 23:08:39,923 Epoch=9, batch=1000, LR=0.000100, loss=32624.4824, mae=117.7410
2025-02-19 23:09:13,655 Epoch=9, batch=1100, LR=0.000100, loss=32651.8730, mae=119.0075
2025-02-19 23:09:48,918 Epoch=9, batch=1200, LR=0.000100, loss=32907.9492, mae=119.9299
2025-02-19 23:10:22,951 Epoch=9, batch=1300, LR=0.000100, loss=33102.2617, mae=120.3623
2025-02-19 23:10:57,558 Epoch=9, batch=1400, LR=0.000100, loss=33182.0195, mae=121.8399
2025-02-19 23:49:17,627 009/30 | Time 2783.872s | LR 0.000100 | loss 32875.7812 | mae 119.6059 | val_loss 32874.1797 | val_mae 119.4918
2025-02-19 23:49:20,556 Epoch=10, batch=0, LR=0.000100, loss=32967.9062, mae=119.5727
2025-02-19 23:49:54,913 Epoch=10, batch=100, LR=0.000100, loss=33340.6875, mae=121.0671
2025-02-19 23:50:28,911 Epoch=10, batch=200, LR=0.000100, loss=33321.1055, mae=120.8534
2025-02-19 23:51:03,172 Epoch=10, batch=300, LR=0.000100, loss=32986.4844, mae=119.9453
2025-02-19 23:51:37,538 Epoch=10, batch=400, LR=0.000100, loss=32836.3047, mae=119.6035
2025-02-19 23:52:12,091 Epoch=10, batch=500, LR=0.000100, loss=33144.8984, mae=120.5457
2025-02-19 23:52:46,184 Epoch=10, batch=600, LR=0.000100, loss=33249.8867, mae=121.5874
2025-02-19 23:53:20,360 Epoch=10, batch=700, LR=0.000100, loss=33467.3242, mae=121.8005
2025-02-19 23:53:55,475 Epoch=10, batch=800, LR=0.000100, loss=32672.9023, mae=119.9764
2025-02-19 23:54:29,898 Epoch=10, batch=900, LR=0.000100, loss=32609.3457, mae=118.5911
2025-02-19 23:55:03,777 Epoch=10, batch=1000, LR=0.000100, loss=32982.7617, mae=120.1895
2025-02-19 23:55:38,594 Epoch=10, batch=1100, LR=0.000100, loss=32802.2031, mae=119.7910
2025-02-19 23:56:13,323 Epoch=10, batch=1200, LR=0.000100, loss=33126.1562, mae=118.9078
2025-02-19 23:56:47,742 Epoch=10, batch=1300, LR=0.000100, loss=32576.5840, mae=118.6466
2025-02-19 23:57:22,027 Epoch=10, batch=1400, LR=0.000100, loss=33004.5156, mae=119.1101
2025-02-20 00:35:23,324 010/30 | Time 2763.875s | LR 0.000100 | loss 32866.7852 | mae 119.5487 | val_loss 32870.4883 | val_mae 119.6083
2025-02-20 00:35:26,145 Epoch=11, batch=0, LR=0.000100, loss=32664.2812, mae=119.3897
2025-02-20 00:35:59,854 Epoch=11, batch=100, LR=0.000100, loss=32525.4648, mae=118.2556
2025-02-20 00:36:34,326 Epoch=11, batch=200, LR=0.000100, loss=32469.9824, mae=118.5638
2025-02-20 00:37:08,128 Epoch=11, batch=300, LR=0.000100, loss=32704.6484, mae=119.8911
2025-02-20 00:37:42,652 Epoch=11, batch=400, LR=0.000100, loss=32884.0273, mae=119.2255
2025-02-20 00:38:17,064 Epoch=11, batch=500, LR=0.000100, loss=33247.6484, mae=121.4431
2025-02-20 00:38:51,803 Epoch=11, batch=600, LR=0.000100, loss=32539.4570, mae=119.0761
2025-02-20 00:39:25,972 Epoch=11, batch=700, LR=0.000100, loss=32860.5312, mae=119.0934
2025-02-20 00:40:01,195 Epoch=11, batch=800, LR=0.000100, loss=33072.1250, mae=120.1757
2025-02-20 00:40:34,672 Epoch=11, batch=900, LR=0.000100, loss=33003.6953, mae=120.3068
2025-02-20 00:41:09,395 Epoch=11, batch=1000, LR=0.000100, loss=32299.0566, mae=118.7071
2025-02-20 00:41:42,849 Epoch=11, batch=1100, LR=0.000100, loss=33278.2695, mae=119.8124
2025-02-20 00:42:17,852 Epoch=11, batch=1200, LR=0.000100, loss=32545.0781, mae=118.6755
2025-02-20 00:42:52,183 Epoch=11, batch=1300, LR=0.000100, loss=32430.2988, mae=118.1696
2025-02-20 00:43:26,799 Epoch=11, batch=1400, LR=0.000100, loss=33044.3516, mae=119.9759
2025-02-20 01:20:59,997 011/30 | Time 2734.983s | LR 0.000100 | loss 32837.8672 | mae 119.4814 | val_loss 32853.9688 | val_mae 119.5703
2025-02-20 01:21:03,355 Epoch=12, batch=0, LR=0.000100, loss=33026.9141, mae=119.3763
2025-02-20 01:21:37,424 Epoch=12, batch=100, LR=0.000100, loss=32500.1719, mae=118.8123
2025-02-20 01:22:13,099 Epoch=12, batch=200, LR=0.000100, loss=32866.2812, mae=120.2970
2025-02-20 01:22:46,950 Epoch=12, batch=300, LR=0.000100, loss=33349.9453, mae=120.3729
2025-02-20 01:23:21,721 Epoch=12, batch=400, LR=0.000100, loss=32959.8906, mae=120.3905
2025-02-20 01:23:55,641 Epoch=12, batch=500, LR=0.000100, loss=33093.5430, mae=119.6040
2025-02-20 01:24:30,332 Epoch=12, batch=600, LR=0.000100, loss=32679.2461, mae=119.0129
2025-02-20 01:25:05,019 Epoch=12, batch=700, LR=0.000100, loss=33060.2734, mae=120.2735
2025-02-20 01:25:40,699 Epoch=12, batch=800, LR=0.000100, loss=32800.9336, mae=120.0649
2025-02-20 01:26:14,568 Epoch=12, batch=900, LR=0.000100, loss=32876.7305, mae=120.0133
2025-02-20 01:26:49,492 Epoch=12, batch=1000, LR=0.000100, loss=32511.0801, mae=118.7312
2025-02-20 01:27:23,403 Epoch=12, batch=1100, LR=0.000100, loss=33025.9688, mae=120.3263
2025-02-20 01:27:58,779 Epoch=12, batch=1200, LR=0.000100, loss=33399.7969, mae=121.2537
2025-02-20 01:28:32,862 Epoch=12, batch=1300, LR=0.000100, loss=32529.1660, mae=118.6127
2025-02-20 01:29:07,454 Epoch=12, batch=1400, LR=0.000100, loss=33077.2852, mae=120.3713
2025-02-20 02:07:20,493 012/30 | Time 2778.244s | LR 0.000100 | loss 32828.2812 | mae 119.4303 | val_loss 32882.0781 | val_mae 119.4981
2025-02-20 02:07:22,431 Epoch=13, batch=0, LR=0.000100, loss=32335.6523, mae=117.4729
2025-02-20 02:07:56,370 Epoch=13, batch=100, LR=0.000100, loss=32464.4512, mae=118.6808
2025-02-20 02:08:31,342 Epoch=13, batch=200, LR=0.000100, loss=32986.7812, mae=119.7715
2025-02-20 02:09:05,646 Epoch=13, batch=300, LR=0.000100, loss=33335.5156, mae=120.6913
2025-02-20 02:09:40,511 Epoch=13, batch=400, LR=0.000100, loss=32638.6523, mae=118.7276
2025-02-20 02:10:14,860 Epoch=13, batch=500, LR=0.000100, loss=33225.3789, mae=120.1884
2025-02-20 02:10:49,808 Epoch=13, batch=600, LR=0.000100, loss=32973.8086, mae=119.5271
2025-02-20 02:11:24,311 Epoch=13, batch=700, LR=0.000100, loss=33100.1250, mae=120.2358
