
2025-02-20 10:47:58,816 Using ReduceLROnPlateau scheduler.
total_optimization_steps: 43200
2025-02-20 10:48:09,640 Epoch=1, batch=0, LR=0.001000, loss=86006.4766, mae=178.4584
2025-02-20 10:50:11,652 Epoch=1, batch=100, LR=0.001000, loss=34213.2617, mae=122.7326
2025-02-20 10:52:35,630 Epoch=1, batch=200, LR=0.001000, loss=33679.3750, mae=122.6570
2025-02-20 10:55:05,197 Epoch=1, batch=300, LR=0.001000, loss=33815.4023, mae=123.3369
2025-02-20 10:57:41,673 Epoch=1, batch=400, LR=0.001000, loss=33947.4844, mae=124.6873
2025-02-20 10:59:56,630 Epoch=1, batch=500, LR=0.001000, loss=34141.8398, mae=124.2510
2025-02-20 11:02:31,862 Epoch=1, batch=600, LR=0.001000, loss=33486.1719, mae=121.7318
2025-02-20 11:05:04,844 Epoch=1, batch=700, LR=0.001000, loss=33366.7305, mae=120.6071
2025-02-20 11:07:39,150 Epoch=1, batch=800, LR=0.001000, loss=32857.7031, mae=120.4833
2025-02-20 11:10:11,967 Epoch=1, batch=900, LR=0.001000, loss=33019.8516, mae=120.0892
2025-02-20 11:12:51,629 Epoch=1, batch=1000, LR=0.001000, loss=33637.5781, mae=121.6705
2025-02-20 11:15:23,769 Epoch=1, batch=1100, LR=0.001000, loss=33600.3984, mae=122.4289
2025-02-20 11:18:21,110 Epoch=1, batch=1200, LR=0.001000, loss=33767.3789, mae=122.9420
2025-02-20 11:21:03,819 Epoch=1, batch=1300, LR=0.001000, loss=33217.4883, mae=121.4157
2025-02-20 11:24:06,897 Epoch=1, batch=1400, LR=0.001000, loss=33132.8047, mae=120.4322
2025-02-20 12:01:45,812 001/30 | Time 4426.950s | LR 0.001000 | loss 34354.3125 | mae 123.1208 | val_loss 33293.7148 | val_mae 121.2824
2025-02-20 12:01:47,617 Epoch=2, batch=0, LR=0.001000, loss=33589.0156, mae=122.0968
2025-02-20 12:02:34,101 Epoch=2, batch=100, LR=0.001000, loss=33149.2461, mae=120.4343
2025-02-20 12:03:25,423 Epoch=2, batch=200, LR=0.001000, loss=33343.6836, mae=121.5585
2025-02-20 12:04:24,296 Epoch=2, batch=300, LR=0.001000, loss=33557.1914, mae=122.0190
