
2025-02-20 12:07:15,810 Using ReduceLROnPlateau scheduler.
total_optimization_steps: 43200
2025-02-20 12:07:30,209 Epoch=1, batch=0, LR=0.000500, loss=86856.0234, mae=179.3055
2025-02-20 12:10:05,298 Epoch=1, batch=100, LR=0.000500, loss=34590.0234, mae=124.1146
2025-02-20 12:12:43,993 Epoch=1, batch=200, LR=0.000500, loss=33784.4023, mae=122.8547
2025-02-20 12:13:42,198 Epoch=1, batch=300, LR=0.000500, loss=33715.9219, mae=123.0281
2025-02-20 12:14:20,309 Epoch=1, batch=400, LR=0.000500, loss=33988.9492, mae=124.4900
2025-02-20 12:14:56,979 Epoch=1, batch=500, LR=0.000500, loss=34166.3672, mae=123.9986
2025-02-20 12:15:35,407 Epoch=1, batch=600, LR=0.000500, loss=33626.6094, mae=122.3422
2025-02-20 12:16:12,599 Epoch=1, batch=700, LR=0.000500, loss=33382.3555, mae=120.5612
2025-02-20 12:16:50,747 Epoch=1, batch=800, LR=0.000500, loss=32906.6797, mae=120.7336
2025-02-20 12:17:27,475 Epoch=1, batch=900, LR=0.000500, loss=33053.7930, mae=120.4452
2025-02-20 12:18:05,611 Epoch=1, batch=1000, LR=0.000500, loss=33656.3672, mae=122.0927
2025-02-20 12:18:42,270 Epoch=1, batch=1100, LR=0.000500, loss=33532.6758, mae=122.1661
2025-02-20 12:19:20,746 Epoch=1, batch=1200, LR=0.000500, loss=33745.9375, mae=122.8591
2025-02-20 12:19:57,449 Epoch=1, batch=1300, LR=0.000500, loss=33368.2695, mae=122.1346
2025-02-20 12:20:36,396 Epoch=1, batch=1400, LR=0.000500, loss=33326.2617, mae=121.1707
2025-02-20 13:14:15,149 001/30 | Time 4019.322s | LR 0.000500 | loss 33827.9922 | mae 122.8125 | val_loss 33298.4492 | val_mae 121.2594
2025-02-20 13:14:19,701 Epoch=2, batch=0, LR=0.000500, loss=33457.8516, mae=121.4818
