
2025-02-20 15:08:12,664 No scheduler. Using constant LR = args.learning_rate
total_optimization_steps: 43200
2025-02-20 15:08:28,503 Epoch=1, batch=0, LR=0.000500, loss=86856.0234, mae=179.3055
2025-02-20 15:11:22,872 Epoch=1, batch=100, LR=0.000500, loss=34590.0234, mae=124.1146
2025-02-20 15:14:19,921 Epoch=1, batch=200, LR=0.000500, loss=33784.4023, mae=122.8547
2025-02-20 15:17:05,024 Epoch=1, batch=300, LR=0.000500, loss=33715.9219, mae=123.0281
2025-02-20 15:19:55,818 Epoch=1, batch=400, LR=0.000500, loss=33988.9492, mae=124.4900
2025-02-20 15:20:51,336 Epoch=1, batch=500, LR=0.000500, loss=34166.3672, mae=123.9986
2025-02-20 15:21:37,040 Epoch=1, batch=600, LR=0.000500, loss=33626.6094, mae=122.3422
2025-02-20 15:22:18,821 Epoch=1, batch=700, LR=0.000500, loss=33382.3555, mae=120.5612
2025-02-20 15:23:02,797 Epoch=1, batch=800, LR=0.000500, loss=32906.6797, mae=120.7336
2025-02-20 15:23:46,024 Epoch=1, batch=900, LR=0.000500, loss=33053.7930, mae=120.4452
2025-02-20 15:24:33,823 Epoch=1, batch=1000, LR=0.000500, loss=33656.3672, mae=122.0927
2025-02-20 15:25:36,842 Epoch=1, batch=1100, LR=0.000500, loss=33532.6758, mae=122.1661
2025-02-20 15:26:39,846 Epoch=1, batch=1200, LR=0.000500, loss=33745.9375, mae=122.8591
2025-02-20 15:27:37,260 Epoch=1, batch=1300, LR=0.000500, loss=33368.2695, mae=122.1346
2025-02-20 15:28:40,854 Epoch=1, batch=1400, LR=0.000500, loss=33326.2617, mae=121.1707
2025-02-20 16:09:46,149 001/30 | Time 3693.448s | LR 0.000500 | loss 33827.9922 | mae 122.8125 | val_loss 33298.4492 | val_mae 121.2594
2025-02-20 16:09:50,332 Epoch=2, batch=0, LR=0.000500, loss=33457.8516, mae=121.4818
2025-02-20 16:10:38,222 Epoch=2, batch=100, LR=0.000500, loss=33069.2422, mae=120.4732
2025-02-20 16:11:26,745 Epoch=2, batch=200, LR=0.000500, loss=33640.2773, mae=122.7373
2025-02-20 16:12:15,713 Epoch=2, batch=300, LR=0.000500, loss=33623.2070, mae=122.2282
2025-02-20 16:13:02,613 Epoch=2, batch=400, LR=0.000500, loss=33203.1602, mae=120.5436
2025-02-20 16:13:45,774 Epoch=2, batch=500, LR=0.000500, loss=33351.2617, mae=120.6893
2025-02-20 16:14:29,993 Epoch=2, batch=600, LR=0.000500, loss=32814.6836, mae=120.4057
2025-02-20 16:15:13,822 Epoch=2, batch=700, LR=0.000500, loss=33142.5000, mae=119.8144
2025-02-20 16:15:57,741 Epoch=2, batch=800, LR=0.000500, loss=33012.9805, mae=120.3020
2025-02-20 16:16:44,066 Epoch=2, batch=900, LR=0.000500, loss=32608.6895, mae=119.0805
2025-02-20 16:17:28,745 Epoch=2, batch=1000, LR=0.000500, loss=33318.1055, mae=121.2007
2025-02-20 16:18:11,837 Epoch=2, batch=1100, LR=0.000500, loss=33191.4961, mae=120.2318
2025-02-20 16:18:57,373 Epoch=2, batch=1200, LR=0.000500, loss=33198.3086, mae=121.0559
2025-02-20 16:19:39,987 Epoch=2, batch=1300, LR=0.000500, loss=33127.4766, mae=120.4919
2025-02-20 16:20:24,602 Epoch=2, batch=1400, LR=0.000500, loss=33549.6445, mae=121.3081
2025-02-20 17:01:48,966 002/30 | Time 3119.820s | LR 0.000500 | loss 33163.1641 | mae 120.6803 | val_loss 33115.0586 | val_mae 120.5380
2025-02-20 17:01:52,613 Epoch=3, batch=0, LR=0.000500, loss=32938.3789, mae=119.2211
2025-02-20 17:02:29,416 Epoch=3, batch=100, LR=0.000500, loss=32790.9805, mae=118.9796
2025-02-20 17:03:06,137 Epoch=3, batch=200, LR=0.000500, loss=33255.7891, mae=120.6890
2025-02-20 17:03:41,862 Epoch=3, batch=300, LR=0.000500, loss=32916.2031, mae=119.3694
2025-02-20 17:04:20,418 Epoch=3, batch=400, LR=0.000500, loss=33008.9297, mae=120.3516
2025-02-20 17:04:56,318 Epoch=3, batch=500, LR=0.000500, loss=32899.4688, mae=119.6337
2025-02-20 17:05:32,632 Epoch=3, batch=600, LR=0.000500, loss=33618.0508, mae=121.3588
2025-02-20 17:06:09,798 Epoch=3, batch=700, LR=0.000500, loss=33111.5078, mae=119.9254
2025-02-20 17:06:46,161 Epoch=3, batch=800, LR=0.000500, loss=32868.7188, mae=119.6538
2025-02-20 17:07:23,958 Epoch=3, batch=900, LR=0.000500, loss=32676.1406, mae=119.5908
2025-02-20 17:08:00,897 Epoch=3, batch=1000, LR=0.000500, loss=32938.1172, mae=120.0428
2025-02-20 17:08:37,265 Epoch=3, batch=1100, LR=0.000500, loss=32541.3594, mae=118.1669
2025-02-20 17:09:15,052 Epoch=3, batch=1200, LR=0.000500, loss=32609.0918, mae=119.3900
2025-02-20 17:09:52,224 Epoch=3, batch=1300, LR=0.000500, loss=33159.8438, mae=120.9390
2025-02-20 17:10:29,576 Epoch=3, batch=1400, LR=0.000500, loss=32707.8730, mae=119.3605
2025-02-20 17:52:00,607 003/30 | Time 3008.980s | LR 0.000500 | loss 33005.1328 | mae 120.0921 | val_loss 33103.1289 | val_mae 120.2482
2025-02-20 17:52:03,620 Epoch=4, batch=0, LR=0.000500, loss=32600.9863, mae=118.5644
