2025-02-20 20:33:26,120 Using ReduceLROnPlateau scheduler.
2025-02-20 20:33:26,167 Loading checkpoint: 8, /mydata/deepcloud/yves/results_git/gnn_graphCast_Emb512_plateau_00005/checkpoint_epoch_8.pth
total_optimization_steps: 43200
2025-02-20 20:33:27,944 Training will continue from epoch: 8/30
2025-02-20 20:33:39,028 Epoch=9, batch=0, LR=0.000500, loss=33238.7188, mae=120.3797
2025-02-20 20:36:17,876 Epoch=9, batch=100, LR=0.000500, loss=33334.4922, mae=119.5258
2025-02-20 20:38:48,742 Epoch=9, batch=200, LR=0.000500, loss=32690.3867, mae=118.7311
2025-02-20 20:41:16,980 Epoch=9, batch=300, LR=0.000500, loss=32741.7539, mae=119.4313
2025-02-20 20:43:50,157 Epoch=9, batch=400, LR=0.000500, loss=33082.9727, mae=121.1325
2025-02-20 20:46:05,264 Epoch=9, batch=500, LR=0.000500, loss=33070.1953, mae=120.3681
2025-02-20 20:48:47,721 Epoch=9, batch=600, LR=0.000500, loss=32831.9922, mae=119.3556
2025-02-20 20:51:09,660 Epoch=9, batch=700, LR=0.000500, loss=32717.3105, mae=118.1474
2025-02-20 20:53:29,771 Epoch=9, batch=800, LR=0.000500, loss=32309.5605, mae=118.5270
2025-02-20 20:55:53,097 Epoch=9, batch=900, LR=0.000500, loss=32513.7285, mae=118.0871
2025-02-20 20:58:16,567 Epoch=9, batch=1000, LR=0.000500, loss=33121.9922, mae=120.0567
2025-02-20 21:00:38,327 Epoch=9, batch=1100, LR=0.000500, loss=33083.7930, mae=120.5907
2025-02-20 21:03:13,427 Epoch=9, batch=1200, LR=0.000500, loss=33143.1484, mae=120.3149
2025-02-20 21:05:35,185 Epoch=9, batch=1300, LR=0.000500, loss=32805.5195, mae=119.7830
2025-02-20 21:08:07,649 Epoch=9, batch=1400, LR=0.000500, loss=32832.3242, mae=119.1537
2025-02-20 22:03:10,997 009/30 | Time 5382.924s | LR 0.000500 | loss 32865.7266 | mae 119.5680 | val_loss 32865.1641 | val_mae 119.6061
2025-02-20 22:03:13,769 Epoch=10, batch=0, LR=0.000500, loss=33065.2617, mae=119.8895
2025-02-20 22:04:23,305 Epoch=10, batch=100, LR=0.000500, loss=32638.0215, mae=118.8718
2025-02-20 22:05:27,045 Epoch=10, batch=200, LR=0.000500, loss=33012.1250, mae=120.4413
2025-02-20 22:06:28,143 Epoch=10, batch=300, LR=0.000500, loss=33228.3281, mae=120.9739
2025-02-20 22:07:38,901 Epoch=10, batch=400, LR=0.000500, loss=32937.2422, mae=119.4571
2025-02-20 22:08:45,056 Epoch=10, batch=500, LR=0.000500, loss=33036.5391, mae=119.4686
2025-02-20 22:09:59,991 Epoch=10, batch=600, LR=0.000500, loss=32543.3242, mae=119.3504
2025-02-20 22:11:00,301 Epoch=10, batch=700, LR=0.000500, loss=32853.5078, mae=118.5695
2025-02-20 22:12:01,086 Epoch=10, batch=800, LR=0.000500, loss=32883.4727, mae=119.6672
2025-02-20 22:13:04,444 Epoch=10, batch=900, LR=0.000500, loss=32363.3281, mae=117.9117
2025-02-20 22:14:15,794 Epoch=10, batch=1000, LR=0.000500, loss=33015.5781, mae=120.2876
2025-02-20 22:15:09,269 Epoch=10, batch=1100, LR=0.000500, loss=33053.0859, mae=119.6460
2025-02-20 22:16:12,910 Epoch=10, batch=1200, LR=0.000500, loss=32874.2656, mae=119.9717
2025-02-20 22:17:15,551 Epoch=10, batch=1300, LR=0.000500, loss=32938.7812, mae=119.5612
2025-02-20 22:18:20,117 Epoch=10, batch=1400, LR=0.000500, loss=33235.8984, mae=119.9174
2025-02-20 23:07:15,437 010/30 | Time 3842.687s | LR 0.000500 | loss 32868.5781 | mae 119.5778 | val_loss 32853.7227 | val_mae 119.6188
2025-02-20 23:07:17,913 Epoch=11, batch=0, LR=0.000500, loss=32702.9297, mae=118.3809
2025-02-20 23:08:18,862 Epoch=11, batch=100, LR=0.000500, loss=32642.3594, mae=118.1422
2025-02-20 23:09:19,029 Epoch=11, batch=200, LR=0.000500, loss=32984.9648, mae=119.9051
2025-02-20 23:10:20,100 Epoch=11, batch=300, LR=0.000500, loss=32734.5566, mae=118.9488
2025-02-20 23:11:25,324 Epoch=11, batch=400, LR=0.000500, loss=32777.7227, mae=119.7301
2025-02-20 23:12:28,003 Epoch=11, batch=500, LR=0.000500, loss=32782.5195, mae=119.1009
2025-02-20 23:13:28,311 Epoch=11, batch=600, LR=0.000500, loss=33403.4453, mae=120.4383
2025-02-20 23:14:31,873 Epoch=11, batch=700, LR=0.000500, loss=32962.0938, mae=119.2860
2025-02-20 23:15:33,519 Epoch=11, batch=800, LR=0.000500, loss=32748.1484, mae=119.2232
2025-02-20 23:16:34,564 Epoch=11, batch=900, LR=0.000500, loss=32626.1973, mae=119.5010
2025-02-20 23:17:35,555 Epoch=11, batch=1000, LR=0.000500, loss=32791.3125, mae=119.4533
2025-02-20 23:18:33,406 Epoch=11, batch=1100, LR=0.000500, loss=32520.1309, mae=117.8390
2025-02-20 23:19:29,901 Epoch=11, batch=1200, LR=0.000500, loss=32516.6484, mae=118.8840
2025-02-20 23:20:31,134 Epoch=11, batch=1300, LR=0.000500, loss=32948.0547, mae=120.3072
2025-02-20 23:21:32,186 Epoch=11, batch=1400, LR=0.000500, loss=32562.0703, mae=118.6468
2025-02-21 00:13:34,885 011/30 | Time 3977.609s | LR 0.000500 | loss 32855.2500 | mae 119.5127 | val_loss 32914.6484 | val_mae 119.6857
2025-02-21 00:13:37,055 Epoch=12, batch=0, LR=0.000500, loss=32432.1543, mae=118.0789
2025-02-21 00:14:38,003 Epoch=12, batch=100, LR=0.000500, loss=33313.4766, mae=121.2643
2025-02-21 00:15:38,676 Epoch=12, batch=200, LR=0.000500, loss=32980.7461, mae=119.9199
2025-02-21 00:16:40,535 Epoch=12, batch=300, LR=0.000500, loss=33088.8516, mae=119.5831
2025-02-21 00:17:41,233 Epoch=12, batch=400, LR=0.000500, loss=33286.5430, mae=120.5535
2025-02-21 00:18:42,637 Epoch=12, batch=500, LR=0.000500, loss=32861.4922, mae=119.6244
2025-02-21 00:19:43,373 Epoch=12, batch=600, LR=0.000500, loss=32676.0000, mae=119.5290
2025-02-21 00:20:46,706 Epoch=12, batch=700, LR=0.000500, loss=32817.9922, mae=119.7053
2025-02-21 00:21:47,622 Epoch=12, batch=800, LR=0.000500, loss=32822.7891, mae=120.6283
2025-02-21 00:22:49,149 Epoch=12, batch=900, LR=0.000500, loss=32985.8672, mae=120.4774
2025-02-21 00:23:49,183 Epoch=12, batch=1000, LR=0.000500, loss=32376.0488, mae=117.2745
2025-02-21 00:24:55,065 Epoch=12, batch=1100, LR=0.000500, loss=32079.0840, mae=117.7054
2025-02-21 00:25:57,683 Epoch=12, batch=1200, LR=0.000500, loss=32101.9375, mae=117.3879
2025-02-21 00:26:57,869 Epoch=12, batch=1300, LR=0.000500, loss=32317.2852, mae=118.8201
2025-02-21 00:27:58,613 Epoch=12, batch=1400, LR=0.000500, loss=32791.3008, mae=119.2851
2025-02-21 01:20:26,369 012/30 | Time 4010.393s | LR 0.000500 | loss 32842.0078 | mae 119.4833 | val_loss 32860.3750 | val_mae 119.4429
2025-02-21 01:20:28,461 Epoch=13, batch=0, LR=0.000500, loss=33047.8359, mae=119.7699
2025-02-21 01:21:28,105 Epoch=13, batch=100, LR=0.000500, loss=33108.7969, mae=119.3906
2025-02-21 01:22:35,959 Epoch=13, batch=200, LR=0.000500, loss=32805.1680, mae=119.7066
2025-02-21 01:23:37,356 Epoch=13, batch=300, LR=0.000500, loss=32794.3555, mae=120.3663
2025-02-21 01:24:38,874 Epoch=13, batch=400, LR=0.000500, loss=33243.4297, mae=120.8291
2025-02-21 01:25:39,772 Epoch=13, batch=500, LR=0.000500, loss=32497.8594, mae=118.7510
2025-02-21 01:26:41,263 Epoch=13, batch=600, LR=0.000500, loss=32940.0078, mae=119.8353
2025-02-21 01:27:42,760 Epoch=13, batch=700, LR=0.000500, loss=33226.1484, mae=120.3988
2025-02-21 01:28:42,947 Epoch=13, batch=800, LR=0.000500, loss=32375.6191, mae=118.9357
2025-02-21 01:29:47,829 Epoch=13, batch=900, LR=0.000500, loss=33467.1953, mae=121.7929
2025-02-21 01:30:48,299 Epoch=13, batch=1000, LR=0.000500, loss=32310.5176, mae=117.7346
2025-02-21 01:31:50,767 Epoch=13, batch=1100, LR=0.000500, loss=32220.3809, mae=116.8449
2025-02-21 01:32:50,418 Epoch=13, batch=1200, LR=0.000500, loss=33754.6406, mae=122.0245
2025-02-21 01:33:52,370 Epoch=13, batch=1300, LR=0.000500, loss=31899.4023, mae=116.9701
2025-02-21 01:34:53,344 Epoch=13, batch=1400, LR=0.000500, loss=33143.3945, mae=120.1205
2025-02-21 02:27:05,729 013/30 | Time 3998.348s | LR 0.000500 | loss 32852.9219 | mae 119.4999 | val_loss 32869.3398 | val_mae 119.3333
2025-02-21 02:27:07,698 Epoch=14, batch=0, LR=0.000500, loss=32923.7773, mae=119.1934
2025-02-21 02:28:08,493 Epoch=14, batch=100, LR=0.000500, loss=33139.0352, mae=119.9799
2025-02-21 02:29:09,113 Epoch=14, batch=200, LR=0.000500, loss=32337.5664, mae=118.7046
2025-02-21 02:30:09,716 Epoch=14, batch=300, LR=0.000500, loss=32798.3281, mae=119.1583
2025-02-21 02:31:10,796 Epoch=14, batch=400, LR=0.000500, loss=32703.1230, mae=119.2074
2025-02-21 02:32:11,705 Epoch=14, batch=500, LR=0.000500, loss=32631.4512, mae=118.5631
2025-02-21 02:33:13,316 Epoch=14, batch=600, LR=0.000500, loss=33004.3164, mae=120.4275
2025-02-21 02:34:18,300 Epoch=14, batch=700, LR=0.000500, loss=32925.6367, mae=119.3980
2025-02-21 02:35:19,675 Epoch=14, batch=800, LR=0.000500, loss=32611.7988, mae=119.3534
2025-02-21 02:36:20,452 Epoch=14, batch=900, LR=0.000500, loss=32778.9297, mae=118.5201
2025-02-21 02:37:21,987 Epoch=14, batch=1000, LR=0.000500, loss=32652.6152, mae=118.4820
2025-02-21 02:38:22,185 Epoch=14, batch=1100, LR=0.000500, loss=32633.5605, mae=119.2513
2025-02-21 02:39:26,426 Epoch=14, batch=1200, LR=0.000500, loss=33075.3125, mae=119.7207
2025-02-21 02:40:26,410 Epoch=14, batch=1300, LR=0.000500, loss=33233.6484, mae=120.1931
2025-02-21 02:41:27,268 Epoch=14, batch=1400, LR=0.000500, loss=33095.4453, mae=119.2795
2025-02-21 03:34:21,432 014/30 | Time 4034.868s | LR 0.000500 | loss 32842.3711 | mae 119.4629 | val_loss 32892.2422 | val_mae 119.7153
2025-02-21 03:34:23,373 Epoch=15, batch=0, LR=0.000500, loss=32711.8379, mae=119.2143
2025-02-21 03:35:24,192 Epoch=15, batch=100, LR=0.000500, loss=32938.0781, mae=120.1630
2025-02-21 03:36:25,276 Epoch=15, batch=200, LR=0.000500, loss=32142.2773, mae=117.1816
