
2025-02-21 17:35:22,445 No scheduler. Using constant LR = args.learning_rate
total_optimization_steps: 43200
2025-02-21 17:35:28,080 Epoch=1, batch=0, LR=0.000500, loss=89497.8203, mae=180.8876
2025-02-21 17:38:54,850 Epoch=1, batch=100, LR=0.000500, loss=34369.9375, mae=123.2734
2025-02-21 17:42:22,015 Epoch=1, batch=200, LR=0.000500, loss=34308.6406, mae=124.4505
2025-02-21 17:45:52,222 Epoch=1, batch=300, LR=0.000500, loss=33770.2109, mae=122.8426
2025-02-21 17:49:14,803 Epoch=1, batch=400, LR=0.000500, loss=33929.5430, mae=124.6065
2025-02-21 17:52:36,737 Epoch=1, batch=500, LR=0.000500, loss=33926.6445, mae=123.6385
2025-02-21 17:56:05,803 Epoch=1, batch=600, LR=0.000500, loss=33602.3750, mae=122.2692
2025-02-21 17:59:24,407 Epoch=1, batch=700, LR=0.000500, loss=33605.9023, mae=121.3085
2025-02-21 18:02:18,245 Epoch=1, batch=800, LR=0.000500, loss=33037.2852, mae=121.1177
2025-02-21 18:05:39,430 Epoch=1, batch=900, LR=0.000500, loss=33152.0430, mae=120.8449
2025-02-21 18:09:22,528 Epoch=1, batch=1000, LR=0.000500, loss=33747.5586, mae=122.2531
2025-02-21 18:12:52,662 Epoch=1, batch=1100, LR=0.000500, loss=33726.5469, mae=123.0042
2025-02-21 18:16:18,274 Epoch=1, batch=1200, LR=0.000500, loss=33776.9219, mae=122.9206
2025-02-21 18:19:43,069 Epoch=1, batch=1300, LR=0.000500, loss=33527.4648, mae=122.6576
2025-02-21 18:23:11,051 Epoch=1, batch=1400, LR=0.000500, loss=33446.9922, mae=121.8129
2025-02-21 20:15:40,062 001/30 | Time 9617.213s | LR 0.000500 | loss 33943.9219 | mae 123.2219 | val_loss 33798.7695 | val_mae 122.8510
2025-02-21 20:15:44,360 Epoch=2, batch=0, LR=0.000500, loss=33994.4219, mae=123.2991
2025-02-21 20:17:57,736 Epoch=2, batch=100, LR=0.000500, loss=33471.4805, mae=121.3104
2025-02-21 20:20:15,699 Epoch=2, batch=200, LR=0.000500, loss=33576.1875, mae=122.5985
2025-02-21 20:22:38,968 Epoch=2, batch=300, LR=0.000500, loss=33896.6875, mae=123.3145
